impl,n,beta,threads,converged,wall_sec,total_updates,updates_per_sec,final_residual
Naive_Jacobi,100000,0.9900,1,true,1.854261,130700000,7.048628e+07,9.985653e-07
RawParallel_Jacobi,100000,0.9900,4,true,0.785344,130700000,1.664240e+08,9.985653e-07
OpenMP_Jacobi,100000,0.9900,4,true,0.615959,130700000,2.121894e+08,9.985653e-07
Eigen_Jacobi,100000,0.9900,1,true,0.636311,130700000,2.054026e+08,9.985653e-07
Naive_Jacobi,500000,0.9900,1,true,11.125433,653500000,5.873929e+07,9.975710e-07
RawParallel_Jacobi,500000,0.9900,4,true,4.684196,653500000,1.395117e+08,9.975710e-07
OpenMP_Jacobi,500000,0.9900,4,true,3.768934,653500000,1.733912e+08,9.975710e-07
Eigen_Jacobi,500000,0.9900,1,true,4.173448,653500000,1.565852e+08,9.975710e-07
Naive_Jacobi,5000,0.9990,1,false,60.005556,11370000,1.894825e+05,2.057713e-01
RawParallel_Jacobi,5000,0.9990,4,false,60.005713,30195000,5.032021e+05,4.758257e-03
OpenMP_Jacobi,5000,0.9990,4,false,60.007027,39325000,6.553399e+05,7.656485e-04
Eigen_Jacobi,5000,0.9990,1,false,60.002454,62650000,1.044124e+06,7.194989e-06
