mdp,solver,n,beta,threads,time_sec,residual
Grid_50x50,Jacobi,2500,0.9990,1,0.000000,1.500000000000e+00
Grid_50x50,Jacobi,2500,0.9990,1,0.005012,7.319978734314e-01
Grid_50x50,Jacobi,2500,0.9990,1,0.010015,3.664673515337e-01
Grid_50x50,Jacobi,2500,0.9990,1,0.015017,1.816973892446e-01
Grid_50x50,Jacobi,2500,0.9990,1,0.020023,8.903718476563e-02
Grid_50x50,Jacobi,2500,0.9990,1,0.025023,4.327610820746e-02
Grid_50x50,Jacobi,2500,0.9990,1,0.030029,2.027679446383e-02
Grid_50x50,Jacobi,2500,0.9990,1,0.035031,9.435623475838e-03
Grid_50x50,Jacobi,2500,0.9990,1,0.040037,4.321821284748e-03
Grid_50x50,Jacobi,2500,0.9990,1,0.045038,1.943533047324e-03
Grid_50x50,Jacobi,2500,0.9990,1,0.050042,8.778400658684e-04
Grid_50x50,Jacobi,2500,0.9990,1,0.055047,3.989599583747e-04
Grid_50x50,Jacobi,2500,0.9990,1,0.060052,1.800712259410e-04
Grid_50x50,Jacobi,2500,0.9990,1,0.065053,8.193293842851e-05
Grid_50x50,Jacobi,2500,0.9990,1,0.070059,3.694654787978e-05
Grid_50x50,Jacobi,2500,0.9990,1,0.075061,1.692964406175e-05
Grid_50x50,Jacobi,2500,0.9990,1,0.080066,7.634362418685e-06
Grid_50x50,Jacobi,2500,0.9990,1,0.085067,3.435820417508e-06
Grid_50x50,Jacobi,2500,0.9990,1,0.090073,1.558709527671e-06
Grid_50x50,Jacobi,2500,0.9990,1,0.095073,7.050127805996e-07
Grid_50x50,Jacobi,2500,0.9990,1,0.095073,7.050127805996e-07
Grid_50x50,GaussSeidel,2500,0.9990,1,0.000000,1.500000000000e+00
Grid_50x50,GaussSeidel,2500,0.9990,1,0.005019,1.330627928074e+00
Grid_50x50,GaussSeidel,2500,0.9990,1,0.010029,8.645352896069e-01
Grid_50x50,GaussSeidel,2500,0.9990,1,0.015046,5.598715288598e-01
Grid_50x50,GaussSeidel,2500,0.9990,1,0.020065,3.645794852750e-01
Grid_50x50,GaussSeidel,2500,0.9990,1,0.025080,2.346319994106e-01
Grid_50x50,GaussSeidel,2500,0.9990,1,0.030081,1.510477377924e-01
Grid_50x50,GaussSeidel,2500,0.9990,1,0.035089,9.698661919333e-02
Grid_50x50,GaussSeidel,2500,0.9990,1,0.040104,6.212988782545e-02
Grid_50x50,GaussSeidel,2500,0.9990,1,0.045120,3.984841408260e-02
Grid_50x50,GaussSeidel,2500,0.9990,1,0.050129,2.550700266079e-02
