mdp,p_bridge,spectral_gap_approx,n,beta,solver,converged,wall_sec,updates_per_sec
Meta_pb0.200,0.200,0.4000,2000,0.9990,Jacobi,false,30.002719,3.563010e+05
Meta_pb0.200,0.200,0.4000,2000,0.9990,GaussSeidel,false,30.004520,3.589459e+05
Meta_pb0.200,0.200,0.4000,2000,0.9990,Async_TopKGS,true,12.285741,1.494505e+06
Meta_pb0.200,0.200,0.4000,2000,0.9990,Plan_Priority,false,30.003639,4.428034e+05
Meta_pb0.100,0.100,0.2000,2000,0.9990,Jacobi,false,30.005171,3.586049e+05
Meta_pb0.100,0.100,0.2000,2000,0.9990,GaussSeidel,false,30.004889,3.590748e+05
Meta_pb0.100,0.100,0.2000,2000,0.9990,Async_TopKGS,true,12.556836,1.463653e+06
Meta_pb0.100,0.100,0.2000,2000,0.9990,Plan_Priority,false,30.003446,4.308038e+05
Meta_pb0.050,0.050,0.1000,2000,0.9990,Jacobi,false,30.007394,2.850631e+05
Meta_pb0.050,0.050,0.1000,2000,0.9990,GaussSeidel,false,30.001689,1.673239e+05
Meta_pb0.050,0.050,0.1000,2000,0.9990,Async_TopKGS,false,30.005665,5.661203e+05
Meta_pb0.050,0.050,0.1000,2000,0.9990,Plan_Priority,false,30.003690,2.724588e+05
Meta_pb0.020,0.020,0.0400,2000,0.9990,Jacobi,false,30.005401,3.398721e+05
Meta_pb0.020,0.020,0.0400,2000,0.9990,GaussSeidel,false,30.006946,3.018634e+05
Meta_pb0.020,0.020,0.0400,2000,0.9990,Async_TopKGS,false,30.055459,5.955772e+05
Meta_pb0.020,0.020,0.0400,2000,0.9990,Plan_Priority,false,30.008889,2.251088e+05
Meta_pb0.010,0.010,0.0200,2000,0.9990,Jacobi,false,30.002355,2.604462e+05
Meta_pb0.010,0.010,0.0200,2000,0.9990,GaussSeidel,false,30.002455,2.967757e+05
Meta_pb0.010,0.010,0.0200,2000,0.9990,Async_TopKGS,true,26.512361,6.948114e+05
Meta_pb0.010,0.010,0.0200,2000,0.9990,Plan_Priority,false,30.006290,2.762562e+05
