mdp,solver,threads,wall_sec,op_compute_pct,residual_pct,overhead_pct,avg_update_ns,avg_scan_ns
Grid_50x50,Jacobi,1,0.095073,0.00,0.00,100.00,0.00,0.00
Grid_50x50,GaussSeidel,1,0.165316,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Async_Static,4,0.123100,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Async_Shuffled,4,0.144273,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Async_TopKGS,4,1.013539,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Async_CATopKGS,4,4.075853,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Async_ResBuck,4,0.956011,0.00,0.00,100.00,0.00,0.00
Grid_50x50,Plan_Static,4,0.086220,61.18,0.29,38.52,9.40,14941.18
Grid_50x50,Plan_Colored,4,0.105156,48.87,0.23,50.89,9.00,11109.86
Grid_50x50,Plan_Priority,4,0.180923,32.37,0.20,67.42,9.22,10017.97
Meta_2K,Jacobi,1,30.001751,0.00,0.00,100.00,0.00,0.00
Meta_2K,GaussSeidel,1,30.003802,0.00,0.00,100.00,0.00,0.00
Meta_2K,Async_Static,4,8.114581,0.00,0.00,100.00,0.00,0.00
Meta_2K,Async_Shuffled,4,10.754558,0.00,0.00,100.00,0.00,0.00
Meta_2K,Async_TopKGS,4,11.870025,0.00,0.00,100.00,0.00,0.00
Meta_2K,Async_CATopKGS,4,13.920937,0.00,0.00,100.00,0.00,0.00
Meta_2K,Async_ResBuck,4,10.576453,0.00,0.00,100.00,0.00,0.00
Meta_2K,Plan_Static,4,30.006395,25.35,47.12,27.53,2153.63,2828085.37
Meta_2K,Plan_Colored,4,30.003636,25.64,50.04,24.33,2161.62,2833790.19
Meta_2K,Plan_Priority,4,30.004323,22.80,48.60,28.60,2174.52,2837221.39
Star_2K,Jacobi,1,0.070035,0.00,0.00,100.00,0.00,0.00
Star_2K,GaussSeidel,1,0.040022,0.00,0.00,100.00,0.00,0.00
Star_2K,Async_Static,4,0.062009,0.00,0.00,100.00,0.00,0.00
Star_2K,Async_Shuffled,4,0.087351,0.00,0.00,100.00,0.00,0.00
Star_2K,Async_TopKGS,4,0.746086,0.00,0.00,100.00,0.00,0.00
Star_2K,Async_CATopKGS,4,2.862040,0.00,0.00,100.00,0.00,0.00
Star_2K,Async_ResBuck,4,0.616756,0.00,0.00,100.00,0.00,0.00
Star_2K,Plan_Static,4,0.050053,49.59,0.16,50.25,5.69,7306.73
Star_2K,Plan_Colored,4,0.086964,24.11,0.16,75.74,5.22,7980.59
Star_2K,Plan_Priority,4,0.105229,22.50,0.12,77.38,6.28,5937.55
Chain_2K,Jacobi,1,0.085054,0.00,0.00,100.00,0.00,0.00
Chain_2K,GaussSeidel,1,0.180248,0.00,0.00,100.00,0.00,0.00
Chain_2K,Async_Static,4,0.066884,0.00,0.00,100.00,0.00,0.00
Chain_2K,Async_Shuffled,4,0.105154,0.00,0.00,100.00,0.00,0.00
Chain_2K,Async_TopKGS,4,0.772215,0.00,0.00,100.00,0.00,0.00
Chain_2K,Async_CATopKGS,4,3.343766,0.00,0.00,100.00,0.00,0.00
Chain_2K,Async_ResBuck,4,0.811970,0.00,0.00,100.00,0.00,0.00
Chain_2K,Plan_Static,4,0.070078,71.77,0.18,28.06,9.50,8183.33
Chain_2K,Plan_Colored,4,0.105143,47.34,0.17,52.49,9.31,8215.95
Chain_2K,Plan_Priority,4,0.170284,35.77,0.16,64.07,9.55,8022.66
Rand_4K,Jacobi,1,0.180233,0.00,0.00,100.00,0.00,0.00
Rand_4K,GaussSeidel,1,0.090158,0.00,0.00,100.00,0.00,0.00
Rand_4K,Async_Static,4,0.148418,0.00,0.00,100.00,0.00,0.00
Rand_4K,Async_Shuffled,4,0.230797,0.00,0.00,100.00,0.00,0.00
Rand_4K,Async_TopKGS,4,2.094827,0.00,0.00,100.00,0.00,0.00
Rand_4K,Async_CATopKGS,4,6.276789,0.00,0.00,100.00,0.00,0.00
Rand_4K,Async_ResBuck,4,0.972218,0.00,0.00,100.00,0.00,0.00
Rand_4K,Plan_Static,4,0.110306,62.73,0.59,36.68,9.63,28393.30
Rand_4K,Plan_Colored,4,0.155496,48.13,0.49,51.38,10.57,23735.72
Rand_4K,Plan_Priority,4,0.195915,42.38,0.56,57.06,10.74,27445.78
