mdp,solver,n,beta,threads,converged,wall_sec,total_updates,updates_per_sec,final_residual,bandwidth_GBps
Rand_n1000,Jacobi,1000,0.9900,1,true,0.010016,1393000,1.390798e+08,4.135911e-07,57.8572
Rand_n1000,GaussSeidel,1000,0.9900,1,true,0.005007,692000,1.381939e+08,9.088155e-07,57.4886
Rand_n1000,Plan_Static_4T,1000,0.9900,4,true,0.010059,1004000,9.980987e+07,2.469228e-09,41.5209
Rand_n1000,Async_Static_4T,1000,0.9900,4,true,0.012738,1220264,9.579777e+07,4.155893e-10,39.8519
Rand_n5000,Jacobi,5000,0.9900,1,true,0.055279,6850000,1.239175e+08,5.206674e-07,51.5497
Rand_n5000,GaussSeidel,5000,0.9900,1,true,0.030097,3905000,1.297479e+08,1.602414e-07,53.9751
Rand_n5000,Plan_Static_4T,5000,0.9900,4,true,0.040379,3770000,9.336517e+07,3.058831e-07,38.8399
Rand_n5000,Async_Static_4T,5000,0.9900,4,true,0.060664,3771642,6.217240e+07,4.372245e-07,25.8637
Rand_n20000,Jacobi,20000,0.9900,1,true,0.498470,26260000,5.268121e+07,9.261930e-07,21.9154
Rand_n20000,GaussSeidel,20000,0.9900,1,true,0.261533,14020000,5.360698e+07,7.985934e-07,22.3005
Rand_n20000,Plan_Static_4T,20000,0.9900,4,true,0.174885,14260000,8.153914e+07,8.169804e-07,33.9203
Rand_n20000,Async_Static_4T,20000,0.9900,4,true,0.234629,14449982,6.158646e+07,8.462444e-07,25.6200
Rand_n100000,Jacobi,100000,0.9900,1,true,3.685655,130600000,3.543467e+07,9.985653e-07,14.7408
Rand_n100000,GaussSeidel,100000,0.9900,1,true,1.814697,69100000,3.807797e+07,9.674350e-07,15.8404
Rand_n100000,Plan_Static_4T,100000,0.9900,4,true,1.595064,70300000,4.407347e+07,9.912250e-07,18.3346
Rand_n100000,Async_Static_4T,100000,0.9900,4,true,1.286585,70649704,5.491258e+07,8.147168e-07,22.8436
