mdp,solver,n,beta,threads,converged,wall_sec,total_updates,updates_per_sec,final_residual,bandwidth_GBps
Grid_50x50,Jacobi,2500,0.9990,1,true,0.095073,35952500,3.781574e+08,7.050128e-07,43.2612
Grid_50x50,GaussSeidel,2500,0.9990,1,true,0.165316,21952500,1.327912e+08,9.501393e-07,15.1913
Grid_50x50,Async_Static,2500,0.9990,4,true,0.123100,24021972,1.951421e+08,4.659175e-07,22.3243
Grid_50x50,Async_Shuffled,2500,0.9990,4,true,0.144273,26473750,1.834978e+08,5.708812e-07,20.9922
Grid_50x50,Async_TopKGS,2500,0.9990,4,true,1.013539,25217947,2.488107e+07,9.707628e-07,2.8464
Grid_50x50,Async_CATopKGS,2500,0.9990,4,true,4.075853,25083069,6.154066e+06,9.570520e-07,0.7040
Grid_50x50,Async_ResBuck,2500,0.9990,4,true,0.956011,21985181,2.299679e+07,9.276928e-07,2.6308
Grid_50x50,Plan_Static,2500,0.9990,4,true,0.086220,22442500,2.602944e+08,8.839138e-07,29.7777
Grid_50x50,Plan_Colored,2500,0.9990,4,true,0.105156,22852500,2.173197e+08,5.173447e-07,24.8614
Grid_50x50,Plan_Priority,2500,0.9990,4,true,0.180923,25421280,1.405086e+08,6.178711e-07,16.0742
Meta_2K,Jacobi,2000,0.9990,1,false,30.001751,10698000,3.565792e+05,7.110298e-03,14.2689
Meta_2K,GaussSeidel,2000,0.9990,1,false,30.003802,10714000,3.570881e+05,6.716254e-05,14.2892
Meta_2K,Async_Static,2000,0.9990,4,true,8.114581,14882068,1.833991e+06,8.793579e-07,73.3890
Meta_2K,Async_Shuffled,2000,0.9990,4,true,10.754558,17994891,1.673234e+06,9.721227e-07,66.9561
Meta_2K,Async_TopKGS,2000,0.9990,4,true,11.870025,18046725,1.520361e+06,9.623157e-07,60.8388
Meta_2K,Async_CATopKGS,2000,0.9990,4,true,13.920937,18020843,1.294514e+06,9.840726e-07,51.8013
Meta_2K,Async_ResBuck,2000,0.9990,4,true,10.576453,15044511,1.422453e+06,9.970368e-07,56.9209
Meta_2K,Plan_Static,2000,0.9990,4,false,30.006395,14128000,4.708330e+05,3.582222e-06,18.8409
Meta_2K,Plan_Colored,2000,0.9990,4,false,30.003636,14233024,4.743766e+05,2.127959e-06,18.9827
Meta_2K,Plan_Priority,2000,0.9990,4,false,30.004323,12581232,4.193140e+05,3.737581e-05,16.7793
Star_2K,Jacobi,2000,0.9990,1,true,0.070035,27660000,3.949468e+08,7.069456e-07,30.0041
Star_2K,GaussSeidel,2000,0.9990,1,true,0.040022,16356000,4.086740e+08,5.225535e-07,31.0470
Star_2K,Async_Static,2000,0.9990,4,true,0.062009,21281607,3.431998e+08,6.327446e-07,26.0729
Star_2K,Async_Shuffled,2000,0.9990,4,true,0.087351,20705173,2.370341e+08,8.489725e-07,18.0075
