mdp,solver,n,beta,threads,converged,wall_sec,total_updates,updates_per_sec,final_residual,bandwidth_GBps
Rand_500K,Plan_Static,500000,0.9900,1,true,5.512161,356000000,6.458448e+07,6.324783e-07,26.8671
Rand_500K,Async_Static,500000,0.9900,1,true,6.836274,338523402,4.951870e+07,6.456416e-07,20.5998
Rand_500K,Plan_Static,500000,0.9900,2,true,4.494520,353000000,7.854009e+07,7.417402e-07,32.6727
Rand_500K,Async_Static,500000,0.9900,2,true,4.922353,347787541,7.065474e+07,8.778751e-07,29.3924
Rand_500K,Plan_Static,500000,0.9900,4,true,3.027750,353500000,1.167534e+08,8.136520e-07,48.5694
Rand_500K,Async_Static,500000,0.9900,4,true,4.668125,353793785,7.578926e+07,9.990587e-07,31.5283
Rand_500K,Plan_Static,500000,0.9900,8,true,3.232881,372500000,1.152223e+08,9.734017e-07,47.9325
Rand_500K,Async_Static,500000,0.9900,8,true,6.645550,398171510,5.991551e+07,8.927322e-07,24.9249
Rand_1M,Plan_Static,1000000,0.9900,1,true,12.869474,699000000,5.431457e+07,8.193905e-07,22.5949
Rand_1M,Async_Static,1000000,0.9900,1,true,17.540285,697999939,3.979410e+07,8.474688e-07,16.5543
Rand_1M,Plan_Static,1000000,0.9900,2,true,10.764460,692000000,6.428562e+07,9.711340e-07,26.7428
Rand_1M,Async_Static,1000000,0.9900,2,true,11.401092,695185963,6.097538e+07,9.377696e-07,25.3658
Rand_1M,Plan_Static,1000000,0.9900,4,true,7.177140,716000000,9.976119e+07,6.893335e-07,41.5007
Rand_1M,Async_Static,1000000,0.9900,4,true,12.317760,732548942,5.947095e+07,9.739105e-07,24.7399
Rand_1M,Plan_Static,1000000,0.9900,8,true,9.578356,773000000,8.070278e+07,7.716977e-07,33.5724
Rand_1M,Async_Static,1000000,0.9900,8,true,27.255833,760511960,2.790272e+07,6.958203e-07,11.6075
